dataset,patch_size,batch_size,lr,epochs,cv_folds,mean_oa,mean_precision,mean_recall,mean_f1,mean_kappa
indian_pines,25,4,0.001,20,3,0.8890815358848866,0.8990578010831053,0.9289775880139564,0.8795699626954403,0.8788026241956413
indian_pines,25,4,0.0005,20,3,0.9940479046198041,0.9811248098161793,0.9745893621553328,0.9709702172300813,0.9932139061969864
indian_pines,25,4,0.0001,20,3,0.9981461510466678,0.9865694055165727,0.996743306244417,0.9907347886016836,0.9978866380185568
indian_pines,25,64,0.001,20,3,0.8071403669534041,0.7658112782652643,0.7368584481223447,0.7277808293891055,0.7738396419019601
indian_pines,25,64,0.0005,20,3,0.9153133971964121,0.9296133202665381,0.9375033137362719,0.915819299843283,0.9021952750497167
indian_pines,25,64,0.0001,20,3,0.9928776869201315,0.9857581036462131,0.9931830603879254,0.9887575043063354,0.9918801957418455
indian_pines,25,128,0.001,20,3,0.9495511604853997,0.9776981741734664,0.9695070782186886,0.9685542117071068,0.9435496678071206
indian_pines,25,128,0.0005,20,3,0.9993169398907105,0.9993621920161099,0.9971805254359808,0.9981757710990354,0.9992211379106073
indian_pines,25,128,0.0001,20,3,0.9964875477962166,0.9972915390259335,0.9902866261325661,0.9931990192462751,0.9959947001358551
indian_pines,25,256,0.001,20,3,0.17083456414945064,0.1316959958559501,0.13757451158421238,0.08886237245910138,0.1028810173365305
indian_pines,25,256,0.0005,20,3,0.10869622704313762,0.07241414236232457,0.0975868871476905,0.042945375010580794,0.032736284807967864
indian_pines,25,256,0.0001,20,3,0.17785835482549597,0.1403799742528916,0.13126939953227582,0.08444607519332209,0.10373508994371465
